,Unix Timestamp,Data
497,1621111097.0,531.1
498,1621111098.0,539.0
499,1621111099.0,546.5
500,1621111100.0,542.7
501,1621111101.0,523.4
502,1621111102.0,508.0
503,1621111103.0,511.6
504,1621111104.0,527.7
505,1621111105.0,538.9
506,1621111106.0,537.1
507,1621111107.0,534.7
508,1621111108.0,540.3
509,1621111109.0,543.0
510,1621111110.0,536.0
511,1621111111.0,529.3
512,1621111112.0,521.7
513,1621111113.0,514.6
514,1621111114.0,522.2
515,1621111115.0,538.9
516,1621111116.0,548.0
517,1621111117.0,546.1
518,1621111118.0,537.9
519,1621111119.0,527.3
520,1621111120.0,523.4
521,1621111121.0,529.2
522,1621111122.0,535.6
523,1621111123.0,539.1
524,1621111124.0,541.3
525,1621111125.0,535.9
526,1621111126.0,524.1
527,1621111127.0,517.5
528,1621111128.0,523.3
529,1621111129.0,532.5
530,1621111130.0,534.8
531,1621111131.0,535.0
532,1621111132.0,538.0
533,1621111133.0,540.7
534,1621111134.0,534.0
535,1621111135.0,523.1
536,1621111136.0,523.6
537,1621111137.0,536.7
538,1621111138.0,546.9
539,1621111139.0,545.0
540,1621111140.0,534.5
541,1621111141.0,523.4
542,1621111142.0,518.2
543,1621111143.0,520.9
544,1621111144.0,527.0
545,1621111145.0,530.4
546,1621111146.0,531.2
547,1621111147.0,532.9
548,1621111148.0,533.8
549,1621111149.0,534.7
550,1621111150.0,534.1
551,1621111151.0,532.0
552,1621111152.0,533.2
553,1621111153.0,533.5
554,1621111154.0,533.2
555,1621111155.0,535.2
556,1621111156.0,534.3
557,1621111157.0,524.8
558,1621111158.0,516.0
559,1621111159.0,518.4
560,1621111160.0,532.8
561,1621111161.0,548.8
562,1621111162.0,549.0
563,1621111163.0,535.4
564,1621111164.0,526.2
565,1621111165.0,523.3
566,1621111166.0,519.7
567,1621111167.0,525.5
568,1621111168.0,539.7
569,1621111169.0,546.9
570,1621111170.0,543.3
571,1621111171.0,536.5
572,1621111172.0,535.1
573,1621111173.0,533.8
574,1621111174.0,531.1
575,1621111175.0,528.9
576,1621111176.0,524.6
577,1621111177.0,522.2
578,1621111178.0,523.4
579,1621111179.0,525.5
580,1621111180.0,529.2
581,1621111181.0,533.4
582,1621111182.0,538.3
583,1621111183.0,544.1
584,1621111184.0,542.6
585,1621111185.0,532.8
586,1621111186.0,527.1
587,1621111187.0,529.8
588,1621111188.0,529.0
589,1621111189.0,520.0
590,1621111190.0,517.1
591,1621111191.0,523.9
592,1621111192.0,531.1
593,1621111193.0,534.9
594,1621111194.0,540.0
595,1621111195.0,544.4
596,1621111196.0,540.4
597,1621111197.0,531.3
598,1621111198.0,522.4
599,1621111199.0,518.3
600,1621111200.0,522.3
601,1621111201.0,531.5
602,1621111202.0,538.5
603,1621111203.0,544.7
604,1621111204.0,550.2
605,1621111205.0,545.6
606,1621111206.0,533.2
607,1621111207.0,528.1
608,1621111208.0,527.7
609,1621111209.0,525.7
610,1621111210.0,524.1
611,1621111211.0,525.9
612,1621111212.0,528.5
613,1621111213.0,533.0
614,1621111214.0,540.3
615,1621111215.0,543.3
616,1621111216.0,539.5
617,1621111217.0,532.4
618,1621111218.0,525.0
619,1621111219.0,519.9
620,1621111220.0,517.5
621,1621111221.0,517.2
622,1621111222.0,522.0
623,1621111223.0,534.3
624,1621111224.0,545.3
625,1621111225.0,547.2
626,1621111226.0,541.6
627,1621111227.0,530.9
628,1621111228.0,521.8
629,1621111229.0,520.9
630,1621111230.0,524.3
631,1621111231.0,523.0
632,1621111232.0,520.2
633,1621111233.0,527.9
634,1621111234.0,541.0
635,1621111235.0,543.7
636,1621111236.0,533.6
637,1621111237.0,525.5
638,1621111238.0,531.5
639,1621111239.0,538.8
640,1621111240.0,534.1
641,1621111241.0,525.5
642,1621111242.0,527.2
643,1621111243.0,539.8
644,1621111244.0,549.8
645,1621111245.0,546.9
646,1621111246.0,532.7
647,1621111247.0,519.0
648,1621111248.0,517.7
649,1621111249.0,526.7
650,1621111250.0,535.7
651,1621111251.0,542.2
652,1621111252.0,545.8
653,1621111253.0,541.5
654,1621111254.0,529.4
655,1621111255.0,519.3
656,1621111256.0,519.1
657,1621111257.0,523.6
658,1621111258.0,528.1
659,1621111259.0,536.7
660,1621111260.0,549.3
661,1621111261.0,559.2
662,1621111262.0,558.8
663,1621111263.0,543.2
664,1621111264.0,517.9
665,1621111265.0,498.9
666,1621111266.0,499.1
667,1621111267.0,513.8
668,1621111268.0,529.9
669,1621111269.0,537.0
670,1621111270.0,540.7
671,1621111271.0,541.4
672,1621111272.0,535.0
673,1621111273.0,527.9
674,1621111274.0,527.2
675,1621111275.0,529.2
676,1621111276.0,523.1
677,1621111277.0,512.9
678,1621111278.0,516.6
679,1621111279.0,536.7
680,1621111280.0,558.4
681,1621111281.0,565.9
682,1621111282.0,553.3
683,1621111283.0,531.1
684,1621111284.0,516.1
685,1621111285.0,514.4
686,1621111286.0,519.5
687,1621111287.0,524.1
688,1621111288.0,530.2
689,1621111289.0,534.6
690,1621111290.0,534.6
691,1621111291.0,537.5
692,1621111292.0,545.4
693,1621111293.0,552.6
694,1621111294.0,550.5
695,1621111295.0,534.5
696,1621111296.0,514.4
697,1621111297.0,503.5
698,1621111298.0,509.2
699,1621111299.0,530.1
700,1621111300.0,554.3
701,1621111301.0,561.9
702,1621111302.0,548.9
703,1621111303.0,530.2
704,1621111304.0,517.9
705,1621111305.0,513.5
706,1621111306.0,512.9
707,1621111307.0,517.1
708,1621111308.0,527.2
709,1621111309.0,535.6
710,1621111310.0,535.7
711,1621111311.0,527.8
712,1621111312.0,523.3
713,1621111313.0,530.0
714,1621111314.0,543.6
715,1621111315.0,551.9
716,1621111316.0,546.4
717,1621111317.0,535.5
718,1621111318.0,529.9
719,1621111319.0,528.2
720,1621111320.0,524.1
721,1621111321.0,524.8
722,1621111322.0,531.0
723,1621111323.0,537.0
724,1621111324.0,542.0
725,1621111325.0,549.3
726,1621111326.0,552.3
727,1621111327.0,537.2
728,1621111328.0,513.1
729,1621111329.0,499.8
730,1621111330.0,505.3
731,1621111331.0,524.2
732,1621111332.0,542.5
733,1621111333.0,547.4
734,1621111334.0,538.7
735,1621111335.0,530.4
736,1621111336.0,534.1
737,1621111337.0,543.9
738,1621111338.0,545.4
739,1621111339.0,536.2
740,1621111340.0,523.6
741,1621111341.0,510.9
742,1621111342.0,504.2
743,1621111343.0,511.1
744,1621111344.0,528.7
745,1621111345.0,541.1
746,1621111346.0,540.1
747,1621111347.0,530.1
748,1621111348.0,522.0
749,1621111349.0,526.5
750,1621111350.0,537.2
751,1621111351.0,542.8
752,1621111352.0,540.0
753,1621111353.0,532.1
754,1621111354.0,524.9
755,1621111355.0,520.4
756,1621111356.0,519.0
757,1621111357.0,522.4
758,1621111358.0,526.9
759,1621111359.0,527.5
760,1621111360.0,526.6
761,1621111361.0,531.1
762,1621111362.0,537.4
763,1621111363.0,536.6
764,1621111364.0,530.3
765,1621111365.0,527.3
766,1621111366.0,528.5
767,1621111367.0,530.0
768,1621111368.0,533.4
769,1621111369.0,537.6
770,1621111370.0,536.3
771,1621111371.0,529.2
772,1621111372.0,523.6
773,1621111373.0,522.9
774,1621111374.0,521.8
775,1621111375.0,522.0
776,1621111376.0,523.1
777,1621111377.0,523.2
778,1621111378.0,529.4
779,1621111379.0,541.3
780,1621111380.0,547.9
781,1621111381.0,542.0
782,1621111382.0,532.4
783,1621111383.0,527.2
784,1621111384.0,525.4
785,1621111385.0,526.4
786,1621111386.0,528.8
787,1621111387.0,534.8
788,1621111388.0,542.7
789,1621111389.0,544.1
790,1621111390.0,538.5
791,1621111391.0,535.7
792,1621111392.0,537.5
793,1621111393.0,536.5
794,1621111394.0,530.5
795,1621111395.0,525.4
796,1621111396.0,526.7
797,1621111397.0,533.2
798,1621111398.0,540.0
799,1621111399.0,543.2
800,1621111400.0,542.3
801,1621111401.0,545.2
802,1621111402.0,553.0
803,1621111403.0,556.6
804,1621111404.0,552.0
805,1621111405.0,537.4
806,1621111406.0,519.0
807,1621111407.0,508.8
808,1621111408.0,512.4
809,1621111409.0,524.4
810,1621111410.0,533.1
811,1621111411.0,534.6
812,1621111412.0,535.8
813,1621111413.0,540.3
814,1621111414.0,547.8
815,1621111415.0,548.4
816,1621111416.0,539.7
817,1621111417.0,528.8
818,1621111418.0,521.6
819,1621111419.0,518.0
820,1621111420.0,520.5
821,1621111421.0,532.4
822,1621111422.0,544.1
823,1621111423.0,544.6
824,1621111424.0,541.9
825,1621111425.0,540.0
826,1621111426.0,531.0
827,1621111427.0,518.9
828,1621111428.0,512.9
829,1621111429.0,514.0
830,1621111430.0,520.6
831,1621111431.0,530.3
832,1621111432.0,541.3
833,1621111433.0,551.7
834,1621111434.0,554.8
835,1621111435.0,546.6
836,1621111436.0,537.2
837,1621111437.0,532.2
838,1621111438.0,526.7
839,1621111439.0,514.3
840,1621111440.0,503.8
841,1621111441.0,508.1
842,1621111442.0,529.2
843,1621111443.0,549.1
844,1621111444.0,545.8
845,1621111445.0,530.2
846,1621111446.0,520.4
847,1621111447.0,516.0
848,1621111448.0,517.8
849,1621111449.0,527.5
850,1621111450.0,535.1
851,1621111451.0,537.1
852,1621111452.0,542.0
853,1621111453.0,546.5
854,1621111454.0,538.2
855,1621111455.0,522.1
