,type_name,time,temp,wet,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,lat,lon,batt_v
280,TEMP+IMUx3,568.0,17.03125,1.0,0.01806640625,0.847900390625,0.07177734375,-0.15,-0.15,-0.15,2.5177001953125,2.349853515625,-18.3258056640625,,,3.911
281,TEMP+IMUx3,569.0,17.03125,1.0,0.093017578125,1.110595703125,0.01025390625,-0.15,-0.15,-0.15,37.05596923828125,-3.204345703125,7.24029541015625,,,3.911
282,TEMP+IMUx3,570.0,17.0234375,1.0,0.025634765625,0.71728515625,0.0263671875,-0.15,-0.15,-0.15,16.510009765625,5.91278076171875,-20.3857421875,,,3.911
283,TEMP+IMUx3,571.0,17.03125,1.0,0.22705078125,1.217529296875,0.047119140625,-0.15,-0.15,-0.15,2.09808349609375,-8.7738037109375,26.947021484375,,,3.911
284,TEMP+IMUx3,572.0,17.0234375,1.0,0.024169921875,1.069580078125,-0.036865234375,-0.15,-0.15,-0.15,8.44573974609375,4.69207763671875,30.55572509765625,,,3.911
285,TEMP+IMUx3,573.0,17.0234375,1.0,0.08203125,0.903076171875,0.00146484375,-0.15,-0.15,-0.15,31.707763671875,25.2532958984375,-12.5274658203125,,,3.911
286,TEMP+IMUx3,574.0,17.0546875,1.0,0.0009765625,1.03125,-0.00048828125,-0.15,-0.15,-0.15,28.3050537109375,-9.89532470703125,-11.19232177734375,,,3.911
287,TEMP+IMUx3,575.0,17.0078125,1.0,-0.05615234375,1.019287109375,0.01171875,-0.15,-0.15,-0.15,-36.3311767578125,6.6375732421875,-17.34161376953125,,,3.911
289,TEMP+IMUx3,575.9,17.0625,1.0,0.072265625,0.9697265625,-0.03369140625,-15.299999999999999,33.3,-46.199999999999996,5.8135986328125,-2.166748046875,-9.1705322265625,,,3.91
290,TEMP+IMUx3,576.9,16.984375,1.0,-0.004150390625,1.105712890625,0.0078125,-19.5,34.65,-40.05,-3.88336181640625,11.80267333984375,14.0533447265625,,,3.91
291,TEMP+IMUx3,578.0,17.046875,1.0,0.078369140625,1.074951171875,0.13232421875,-0.15,-0.15,-0.15,16.876220703125,-0.95367431640625,-3.35693359375,,,3.91
292,TEMP+IMUx3,579.0,17.0703125,1.0,-0.02294921875,0.957763671875,0.00341796875,-0.15,-0.15,-0.15,13.98468017578125,4.37164306640625,-3.082275390625,,,3.91
293,TEMP+IMUx3,580.0,17.0546875,1.0,0.068115234375,1.058837890625,0.025390625,-0.15,-0.15,-0.15,-2.197265625,2.8839111328125,-17.1661376953125,,,3.91
294,TEMP+IMUx3,581.0,17.078125,1.0,0.19677734375,1.133056640625,0.072021484375,-0.15,-0.15,-0.15,-26.0772705078125,-14.6026611328125,16.9830322265625,,,3.91
295,TEMP+IMUx3,582.0,17.109375,1.0,-0.006103515625,0.912841796875,-0.025390625,-0.15,-0.15,-0.15,-27.16064453125,7.02667236328125,-17.67730712890625,,,3.91
296,TEMP+IMUx3,583.0,17.1015625,1.0,0.1220703125,1.046630859375,0.095703125,-0.15,-0.15,-0.15,2.61688232421875,3.9520263671875,1.89208984375,,,3.91
297,TEMP+IMUx3,584.0,17.046875,1.0,0.083251953125,1.17041015625,0.190673828125,-23.4,31.5,-38.699999999999996,20.42388916015625,-0.95367431640625,10.27679443359375,,,3.91
298,TEMP+IMUx3,585.0,17.1171875,1.0,0.106689453125,1.015380859375,0.0439453125,-19.5,37.199999999999996,-34.949999999999996,18.768310546875,0.29754638671875,5.86700439453125,,,3.91
254,TEMP+IMUx3,586.0,17.125,1.0,0.00048828125,1.00830078125,0.159912109375,-0.15,-0.15,-0.15,2.960205078125,-7.781982421875,6.3323974609375,,,3.911
255,TEMP+IMUx3,587.0,17.0703125,1.0,0.199951171875,0.941650390625,0.05908203125,-0.15,-0.15,-0.15,0.64849853515625,-4.05120849609375,-3.814697265625,,,3.911
256,TEMP+IMUx3,588.0,17.1328125,1.0,0.05859375,1.15185546875,0.16796875,-0.15,-0.15,-0.15,-23.49090576171875,3.021240234375,10.01739501953125,,,3.911
257,TEMP+IMUx3,589.0,17.203125,1.0,0.12158203125,1.01025390625,-0.026611328125,-0.15,-0.15,-0.15,17.578125,-8.7127685546875,19.3023681640625,,,3.911
258,TEMP+IMUx3,590.0,17.15625,1.0,0.03759765625,1.09033203125,-0.044189453125,-0.15,-0.15,-0.15,-14.53399658203125,1.89208984375,9.08660888671875,,,3.911
259,TEMP+IMUx3,591.0,17.1796875,1.0,0.163818359375,0.980224609375,0.049560546875,-0.15,-0.15,-0.15,-9.68170166015625,7.36236572265625,13.80157470703125,,,3.911
260,TEMP+IMUx3,592.0,17.1328125,1.0,0.058349609375,0.93212890625,0.02734375,-0.15,-0.15,-0.15,-36.30828857421875,5.3253173828125,-40.64178466796875,,,3.911
261,TEMP+IMUx3,593.0,17.1796875,1.0,0.06982421875,1.1552734375,0.010986328125,-0.15,-0.15,-0.15,15.15960693359375,-4.34112548828125,18.13507080078125,,,3.911
262,TEMP+IMUx3,594.0,17.21875,1.0,0.04541015625,1.0546875,0.0166015625,-0.15,-0.15,-0.15,8.41522216796875,-4.0283203125,20.111083984375,,,3.911
263,TEMP+IMUx3,595.0,17.1796875,1.0,0.05078125,0.947021484375,0.1123046875,-0.15,-0.15,-0.15,38.0096435546875,12.04681396484375,-16.78466796875,,,3.911
265,TEMP+IMUx3,596.0,17.203125,1.0,0.103515625,1.1181640625,0.037841796875,-0.15,-0.15,-0.15,-10.90240478515625,-4.28009033203125,18.59283447265625,,,3.91
266,TEMP+IMUx3,597.0,17.1953125,1.0,0.056884765625,0.928466796875,0.082275390625,-0.15,-0.15,-0.15,0.66375732421875,5.5084228515625,-2.44140625,,,3.91
267,TEMP+IMUx3,598.0,17.2421875,1.0,0.074462890625,1.0263671875,0.08203125,-0.15,-0.15,-0.15,6.6070556640625,-5.2337646484375,13.6566162109375,,,3.91
268,TEMP+IMUx3,599.0,17.2421875,1.0,0.05078125,0.887939453125,-0.0068359375,-0.15,-0.15,-0.15,-1.2664794921875,-5.30242919921875,-5.3558349609375,,,3.91
269,TEMP+IMUx3,600.0,17.2265625,1.0,-0.023681640625,0.89208984375,0.206787109375,-0.15,-0.15,-0.15,25.665283203125,2.14385986328125,-1.1138916015625,,,3.91
270,TEMP+IMUx3,601.0,17.2109375,1.0,0.0185546875,1.068359375,0.01416015625,-0.15,-0.15,-0.15,-8.0413818359375,0.946044921875,-9.735107421875,,,3.91
271,TEMP+IMUx3,602.0,17.21875,1.0,0.044921875,0.99755859375,0.024169921875,-0.15,-0.15,-0.15,0.72479248046875,-3.83758544921875,-10.21575927734375,,,3.91
272,TEMP+IMUx3,602.9,17.21875,1.0,0.03076171875,1.062744140625,-0.05517578125,-18.599999999999998,35.55,-42.3,18.4173583984375,-2.89154052734375,1.312255859375,,,3.91
273,TEMP+IMUx3,604.0,17.2890625,1.0,-0.009033203125,0.926025390625,-0.009765625,-0.15,-0.15,-0.15,-3.082275390625,0.0457763671875,14.8468017578125,,,3.91
274,TEMP+IMUx3,605.0,17.3125,1.0,0.138671875,1.036376953125,0.031494140625,-0.15,-0.15,-0.15,-19.7906494140625,-4.85992431640625,-2.75421142578125,,,3.91
230,TEMP+IMUx3,606.0,17.265625,1.0,0.02685546875,1.014404296875,-0.053955078125,-0.15,-0.15,-0.15,2.13623046875,-9.6282958984375,-0.61798095703125,,,
231,TEMP+IMUx3,607.0,17.28125,1.0,0.08154296875,0.89697265625,0.102783203125,-0.15,-0.15,-0.15,12.18414306640625,-8.6212158203125,-23.345947265625,,,
232,TEMP+IMUx3,608.0,17.3359375,1.0,0.02001953125,1.029541015625,0.057373046875,-0.15,-0.15,-0.15,13.11492919921875,0.4425048828125,-13.7939453125,,,
233,TEMP+IMUx3,609.0,17.3046875,1.0,0.069580078125,1.07666015625,0.133056640625,-0.15,-0.15,-0.15,-32.61566162109375,-2.1209716796875,11.65008544921875,,,
234,TEMP+IMUx3,610.0,17.328125,1.0,0.049072265625,0.863037109375,0.11962890625,-0.15,-0.15,-0.15,15.19012451171875,-0.14495849609375,-18.646240234375,,,
235,TEMP+IMUx3,611.0,17.296875,1.0,0.050048828125,1.042724609375,0.005126953125,-0.15,-0.15,-0.15,0.05340576171875,-4.35638427734375,-16.12091064453125,,,
236,TEMP+IMUx3,612.0,17.3359375,1.0,0.048095703125,1.0888671875,0.065185546875,-0.15,-0.15,-0.15,-3.5552978515625,-0.457763671875,3.326416015625,,,
237,TEMP+IMUx3,613.0,17.34375,1.0,0.016845703125,1.0078125,0.07666015625,-13.65,34.949999999999996,-46.8,9.59014892578125,-5.36346435546875,-6.9122314453125,,,
238,TEMP+IMUx3,614.0,17.328125,1.0,0.0712890625,1.01318359375,0.026123046875,-15.45,35.699999999999996,-42.9,-13.61083984375,4.20379638671875,-3.23486328125,,,
239,TEMP+IMUx3,615.0,17.3515625,1.0,0.03857421875,0.983154296875,0.099365234375,-11.85,39.9,-38.25,-3.021240234375,5.92803955078125,-4.31060791015625,,,
241,TEMP+IMUx3,616.0,17.34375,1.0,-0.025390625,0.952880859375,-0.1689453125,-0.15,-0.15,-0.15,-14.801025390625,-0.22125244140625,7.01141357421875,,,3.91
242,TEMP+IMUx3,617.0,17.328125,1.0,0.046875,0.877197265625,0.087890625,-0.15,-0.15,-0.15,14.1754150390625,6.30950927734375,-12.2222900390625,,,3.91
243,TEMP+IMUx3,618.0,17.3359375,1.0,0.061279296875,1.190185546875,-0.071044921875,-0.15,-0.15,-0.15,-14.9993896484375,5.42449951171875,11.97052001953125,,,3.91
244,TEMP+IMUx3,619.0,17.3359375,1.0,0.0830078125,1.137451171875,-0.05029296875,-0.15,-0.15,-0.15,2.0599365234375,0.58746337890625,11.39068603515625,,,3.91
245,TEMP+IMUx3,620.0,17.40625,1.0,0.055419921875,1.04345703125,0.147705078125,-0.15,-0.15,-0.15,11.8408203125,-2.12860107421875,6.93511962890625,,,3.91
