ride_id,UTC,IMU A2
15693,2018-10-05 22:01:17.913000+00:00,483.0
15693,2018-10-05 22:01:18.045000+00:00,515.0
15693,2018-10-05 22:01:18.177000+00:00,564.0
15693,2018-10-05 22:01:18.309000+00:00,506.0
15693,2018-10-05 22:01:18.441000+00:00,510.0
15693,2018-10-05 22:01:18.573000+00:00,538.0
15693,2018-10-05 22:01:18.705000+00:00,465.0
15693,2018-10-05 22:01:18.837000+00:00,456.0
15693,2018-10-05 22:01:18.969000+00:00,463.0
15693,2018-10-05 22:01:19.101000+00:00,462.0
15693,2018-10-05 22:01:19.233000+00:00,463.0
15693,2018-10-05 22:01:19.365000+00:00,452.0
15693,2018-10-05 22:01:19.497000+00:00,501.0
15693,2018-10-05 22:01:19.629000+00:00,532.0
15693,2018-10-05 22:01:19.761000+00:00,515.0
15693,2018-10-05 22:01:19.893000+00:00,538.0
15693,2018-10-05 22:01:20.025000+00:00,538.0
15693,2018-10-05 22:01:20.157000+00:00,510.0
15693,2018-10-05 22:01:20.289000+00:00,453.0
15693,2018-10-05 22:01:20.421000+00:00,464.0
15693,2018-10-05 22:01:20.553000+00:00,505.0
15693,2018-10-05 22:01:20.685000+00:00,514.0
15693,2018-10-05 22:01:20.817000+00:00,528.0
15693,2018-10-05 22:01:20.949000+00:00,502.0
15693,2018-10-05 22:01:21.081000+00:00,533.0
15693,2018-10-05 22:01:21.213000+00:00,516.0
15693,2018-10-05 22:01:21.345000+00:00,513.0
15693,2018-10-05 22:01:21.477000+00:00,509.0
15693,2018-10-05 22:01:21.609000+00:00,526.0
15693,2018-10-05 22:01:21.741000+00:00,511.0
15693,2018-10-05 22:01:21.873000+00:00,470.0
15693,2018-10-05 22:01:22.005000+00:00,506.0
15693,2018-10-05 22:01:22.137000+00:00,490.0
15693,2018-10-05 22:01:22.269000+00:00,440.0
15693,2018-10-05 22:01:22.401000+00:00,475.0
15693,2018-10-05 22:01:22.533000+00:00,520.0
15693,2018-10-05 22:01:22.665000+00:00,595.0
15693,2018-10-05 22:01:22.797000+00:00,517.0
15693,2018-10-05 22:01:22.929000+00:00,537.0
15693,2018-10-05 22:01:23.061000+00:00,583.0
15693,2018-10-05 22:01:23.193000+00:00,590.0
15693,2018-10-05 22:01:23.325000+00:00,493.0
15693,2018-10-05 22:01:23.457000+00:00,424.0
15693,2018-10-05 22:01:23.589000+00:00,489.0
15693,2018-10-05 22:01:23.721000+00:00,448.0
15693,2018-10-05 22:01:23.853000+00:00,478.0
15693,2018-10-05 22:01:23.985000+00:00,489.0
15693,2018-10-05 22:01:24.117000+00:00,450.0
15693,2018-10-05 22:01:24.249000+00:00,554.0
15693,2018-10-05 22:01:24.381000+00:00,441.0
15693,2018-10-05 22:01:24.513000+00:00,478.0
15693,2018-10-05 22:01:24.645000+00:00,490.0
15693,2018-10-05 22:01:24.777000+00:00,451.0
15693,2018-10-05 22:01:24.909000+00:00,457.0
15693,2018-10-05 22:01:25.041000+00:00,435.0
15693,2018-10-05 22:01:25.173000+00:00,497.0
15693,2018-10-05 22:01:25.305000+00:00,503.0
15693,2018-10-05 22:01:25.437000+00:00,450.0
15693,2018-10-05 22:01:25.569000+00:00,437.0
15693,2018-10-05 22:01:25.701000+00:00,485.0
15693,2018-10-05 22:01:25.833000+00:00,556.0
15693,2018-10-05 22:01:25.965000+00:00,510.0
15693,2018-10-05 22:01:26.097000+00:00,506.0
15693,2018-10-05 22:01:26.229000+00:00,538.0
15693,2018-10-05 22:01:26.361000+00:00,512.0
15693,2018-10-05 22:01:26.493000+00:00,512.0
15693,2018-10-05 22:01:26.625000+00:00,510.0
15693,2018-10-05 22:01:26.757000+00:00,546.0
15693,2018-10-05 22:01:26.889000+00:00,522.0
15693,2018-10-05 22:01:27.021000+00:00,463.0
15693,2018-10-05 22:01:27.153000+00:00,495.0
15693,2018-10-05 22:01:27.285000+00:00,492.0
15693,2018-10-05 22:01:27.417000+00:00,491.0
15693,2018-10-05 22:01:27.549000+00:00,452.0
15693,2018-10-05 22:01:27.681000+00:00,448.0
15693,2018-10-05 22:01:27.813000+00:00,471.0
15693,2018-10-05 22:01:27.945000+00:00,547.0
15693,2018-10-05 22:01:28.077000+00:00,553.0
15693,2018-10-05 22:01:28.209000+00:00,481.0
15693,2018-10-05 22:01:28.341000+00:00,479.0
15693,2018-10-05 22:01:28.473000+00:00,530.0
15693,2018-10-05 22:01:28.605000+00:00,561.0
15693,2018-10-05 22:01:28.737000+00:00,570.0
15693,2018-10-05 22:01:28.869000+00:00,497.0
15693,2018-10-05 22:01:29.001000+00:00,446.0
15693,2018-10-05 22:01:29.133000+00:00,436.0
15693,2018-10-05 22:01:29.265000+00:00,499.0
15693,2018-10-05 22:01:29.397000+00:00,494.0
15693,2018-10-05 22:01:29.529000+00:00,490.0
15693,2018-10-05 22:01:29.661000+00:00,489.0
15693,2018-10-05 22:01:29.793000+00:00,480.0
15693,2018-10-05 22:01:29.925000+00:00,507.0
15693,2018-10-05 22:01:30.057000+00:00,522.0
15693,2018-10-05 22:01:30.189000+00:00,435.0
15693,2018-10-05 22:01:30.321000+00:00,530.0
15693,2018-10-05 22:01:30.453000+00:00,453.0
15693,2018-10-05 22:01:30.585000+00:00,474.0
15693,2018-10-05 22:01:30.717000+00:00,475.0
15693,2018-10-05 22:01:30.849000+00:00,481.0
15693,2018-10-05 22:01:30.981000+00:00,489.0
15693,2018-10-05 22:01:31.113000+00:00,469.0
15693,2018-10-05 22:01:31.245000+00:00,500.0
15693,2018-10-05 22:01:31.377000+00:00,324.0
15693,2018-10-05 22:01:31.509000+00:00,434.0
15693,2018-10-05 22:01:31.641000+00:00,419.0
15693,2018-10-05 22:01:31.773000+00:00,532.0
15693,2018-10-05 22:01:31.905000+00:00,461.0
15693,2018-10-05 22:01:32.037000+00:00,543.0
15693,2018-10-05 22:01:32.169000+00:00,486.0
15693,2018-10-05 22:01:32.301000+00:00,484.0
15693,2018-10-05 22:01:32.433000+00:00,457.0
15693,2018-10-05 22:01:32.565000+00:00,504.0
15693,2018-10-05 22:01:32.697000+00:00,495.0
15693,2018-10-05 22:01:32.829000+00:00,484.0
15693,2018-10-05 22:01:32.961000+00:00,457.0
15693,2018-10-05 22:01:33.093000+00:00,513.0
15693,2018-10-05 22:01:33.225000+00:00,495.0
15693,2018-10-05 22:01:33.357000+00:00,499.0
15693,2018-10-05 22:01:33.489000+00:00,539.0
15693,2018-10-05 22:01:33.621000+00:00,422.0
15693,2018-10-05 22:01:33.753000+00:00,444.0
15693,2018-10-05 22:01:33.885000+00:00,546.0
15693,2018-10-05 22:01:34.017000+00:00,451.0
15693,2018-10-05 22:01:34.149000+00:00,462.0
15693,2018-10-05 22:01:34.281000+00:00,479.0
15693,2018-10-05 22:01:34.413000+00:00,501.0
15693,2018-10-05 22:01:34.545000+00:00,554.0
15693,2018-10-05 22:01:34.677000+00:00,540.0
15693,2018-10-05 22:01:34.809000+00:00,470.0
15693,2018-10-05 22:01:34.941000+00:00,420.0
15693,2018-10-05 22:01:35.073000+00:00,487.0
15693,2018-10-05 22:01:35.205000+00:00,474.0
15693,2018-10-05 22:01:35.337000+00:00,465.0
15693,2018-10-05 22:01:35.469000+00:00,495.0
15693,2018-10-05 22:01:35.601000+00:00,519.0
15693,2018-10-05 22:01:35.733000+00:00,539.0
15693,2018-10-05 22:01:35.865000+00:00,485.0
15693,2018-10-05 22:01:35.997000+00:00,524.0
15693,2018-10-05 22:01:36.129000+00:00,540.0
15693,2018-10-05 22:01:36.261000+00:00,497.0
15693,2018-10-05 22:01:36.393000+00:00,491.0
15693,2018-10-05 22:01:36.525000+00:00,487.0
15693,2018-10-05 22:01:36.657000+00:00,506.0
15693,2018-10-05 22:01:36.789000+00:00,522.0
15693,2018-10-05 22:01:36.921000+00:00,488.0
15693,2018-10-05 22:01:37.053000+00:00,516.0
15693,2018-10-05 22:01:37.185000+00:00,486.0
15693,2018-10-05 22:01:37.317000+00:00,493.0
15693,2018-10-05 22:01:37.449000+00:00,529.0
15693,2018-10-05 22:01:37.581000+00:00,503.0
15693,2018-10-05 22:01:37.713000+00:00,521.0
15693,2018-10-05 22:01:37.845000+00:00,525.0
15693,2018-10-05 22:01:37.977000+00:00,492.0
15693,2018-10-05 22:01:38.109000+00:00,454.0
15693,2018-10-05 22:01:38.241000+00:00,495.0
15693,2018-10-05 22:01:38.373000+00:00,496.0
15693,2018-10-05 22:01:38.505000+00:00,507.0
15693,2018-10-05 22:01:38.637000+00:00,502.0
15693,2018-10-05 22:01:38.769000+00:00,490.0
15693,2018-10-05 22:01:38.901000+00:00,547.0
15693,2018-10-05 22:01:39.033000+00:00,515.0
15693,2018-10-05 22:01:39.165000+00:00,560.0
15693,2018-10-05 22:01:39.297000+00:00,526.0
15693,2018-10-05 22:01:39.429000+00:00,436.0
15693,2018-10-05 22:01:39.561000+00:00,471.0
15693,2018-10-05 22:01:39.693000+00:00,539.0
15693,2018-10-05 22:01:39.825000+00:00,546.0
15693,2018-10-05 22:01:39.957000+00:00,527.0
15693,2018-10-05 22:01:40.089000+00:00,506.0
15693,2018-10-05 22:01:40.221000+00:00,501.0
15693,2018-10-05 22:01:40.353000+00:00,499.0
15693,2018-10-05 22:01:40.485000+00:00,504.0
15693,2018-10-05 22:01:40.617000+00:00,521.0
15693,2018-10-05 22:01:40.749000+00:00,508.0
15693,2018-10-05 22:01:40.881000+00:00,496.0
15693,2018-10-05 22:01:41.013000+00:00,472.0
15693,2018-10-05 22:01:41.145000+00:00,482.0
15693,2018-10-05 22:01:41.277000+00:00,492.0
15693,2018-10-05 22:01:41.409000+00:00,514.0
15693,2018-10-05 22:01:41.541000+00:00,493.0
15693,2018-10-05 22:01:41.673000+00:00,457.0
15693,2018-10-05 22:01:41.805000+00:00,451.0
15693,2018-10-05 22:01:41.937000+00:00,472.0
15693,2018-10-05 22:01:42.069000+00:00,502.0
15693,2018-10-05 22:01:42.201000+00:00,509.0
15693,2018-10-05 22:01:42.333000+00:00,501.0
15693,2018-10-05 22:01:42.465000+00:00,499.0
15693,2018-10-05 22:01:42.597000+00:00,502.0
15693,2018-10-05 22:01:42.729000+00:00,489.0
